2018.09.19.09.32.09, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.32.09, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.32.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.33.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.33.26, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.33.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.34.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.34.43, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.35.09, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.35.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.36.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.36.26, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.36.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.37.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.37.43, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.38.08, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.38.34, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.39.00, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.39.25, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.39.51, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.40.17, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.549039999999998_87.29241833333332_20180216170525_2.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE IMG_50_data_9000000006_defaultMcs_23.5472089_87.2926325_20171224160418_0.kmz 0.0
2018.09.19.09.40.42, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216152026_0.kmz 0.0
2018.09.19.09.41.08, SET FILE IMPORTANCE IMG_50_data_8906912588_defaultMcs_23.5470734_87.2926103_20180216182047_0.kmz 0.0
2018.09.19.09.41.08, SET FILE IMPORTANCE VID_50_data_9836242994_defaultMcs_23.547171666666667_87.29223833333332_20180216170525_1.kmz 0.0
2018.09.19.09.41.08, SET FILE IMPORTANCE VID_50_data_9000000002_defaultMcs_23.5472345_87.2926184_20171224160512_0.kmz 0.0
2018.09.19.09.41.08, SET FILE IMPORTANCE IMG_50_data_9474649114_defaultMcs_23.5467627_87.2926112_20180216163331_0.kmz 0.0
2018.09.19.09.41.08, SET FILE IMPORTANCE IMG_50_data_9836242994_defaultMcs_23.549035000000003_87.29256833333332_20180216172509_4.kmz 0.0
